Feature,Rank,Title,Artist,Popularity,Feature_Score
danceability,1,bad bad bad,Young Thug - Lil Baby,18747.75,0.974
danceability,2,baby,Quality Control - Lil Baby - DaBaby,30106.14999999999,0.97
danceability,3,pure cocaine,Lil Baby,16966.200000000015,0.964
danceability,4,yes indeed,Lil Baby - Drake,68523.75000000004,0.963
danceability,5,bad liar,Selena Gomez,16801.05,0.953
danceability,6,money,Cardi B,32293.1,0.95
danceability,7,get right witcha,Migos,13593.9,0.95
danceability,8,caroline,Aminé,24863.950000000008,0.945
danceability,9,splashin,Rich The Kid,14007.55,0.942
danceability,10,caroline,Aminé,11317.8,0.94
energy,1,boss bitch,Doja Cat,12441.450000000004,0.955
energy,2,everybody,Logic,14064.650000000003,0.94
energy,3,just hold on,Steve Aoki - Louis Tomlinson,10233.9,0.932
energy,4,good as hell,Lizzo,14813.85,0.919
energy,5,nice for what,Drake,34945.69999999998,0.913
energy,6,nice for what,Drake,27828.80000000001,0.909
energy,7,high hopes,Panic! At The Disco,51281.19999999998,0.904
energy,8,juice,Lizzo,16629.350000000006,0.889
energy,9,motivation,Normani,11455.8,0.887
energy,10,rolex,Ayo & Teo,22582.000000000004,0.8859999999999999
speechiness,1,shotta flow,NLE Choppa,14696.2,0.588
speechiness,2,splashin,Rich The Kid,14007.55,0.565
speechiness,3,21,Polo G,19696.05,0.541
speechiness,4,yes indeed,Lil Baby - Drake,68523.75000000004,0.53
speechiness,5,caroline,Aminé,11317.8,0.505
speechiness,6,caroline,Aminé,24863.950000000008,0.4920000000000001
speechiness,7,life is good,Future - Drake,23737.15,0.487
speechiness,8,element.,Kendrick Lamar,20577.149999999983,0.485
speechiness,9,life is good,Future - Drake,34040.89999999997,0.481
speechiness,10,river,Eminem - Ed Sheeran,16016.05,0.473
acoustics,1,when the partys over,Billie Eilish,26340.3,0.979
acoustics,2,when the partys over,Billie Eilish,57236.95000000001,0.978
acoustics,3,i love you,Billie Eilish,18010.15,0.952
acoustics,4,lovely,Billie Eilish - Khalid,79693.90000000005,0.934
acoustics,5,its beginning to look a lot like christmas,Michael Bublé,13829.100000000004,0.908
acoustics,6,everything i wanted,Billie Eilish,48156.50000000005,0.902
